+-------------------------------------------------------------+------------+
|                           Modules                           | Parameters |
|      single_transformer_blocks.14.attn.to_out.0.weight      |  9437184   |
|       single_transformer_blocks.14.ff.linear_1.weight       |  25165824  |
|       single_transformer_blocks.14.ff.linear_2.weight       |  25165824  |
|    single_transformer_blocks.14.ff.out_projection.weight    |  25165824  |
|       single_transformer_blocks.15.norm1.linear.weight      |  56623104  |
|        single_transformer_blocks.15.attn.to_q.weight        |  9437184   |
|        single_transformer_blocks.15.attn.to_k.weight        |  9437184   |
|        single_transformer_blocks.15.attn.to_v.weight        |  9437184   |
|      single_transformer_blocks.15.attn.to_out.0.weight      |  9437184   |
|       single_transformer_blocks.15.ff.linear_1.weight       |  25165824  |
|       single_transformer_blocks.15.ff.linear_2.weight       |  25165824  |
|    single_transformer_blocks.15.ff.out_projection.weight    |  25165824  |
|       single_transformer_blocks.16.norm1.linear.weight      |  56623104  |
|        single_transformer_blocks.16.attn.to_q.weight        |  9437184   |
|        single_transformer_blocks.16.attn.to_k.weight        |  9437184   |
|        single_transformer_blocks.16.attn.to_v.weight        |  9437184   |
|      single_transformer_blocks.16.attn.to_out.0.weight      |  9437184   |
|       single_transformer_blocks.16.ff.linear_1.weight       |  25165824  |
|       single_transformer_blocks.16.ff.linear_2.weight       |  25165824  |
|    single_transformer_blocks.16.ff.out_projection.weight    |  25165824  |
|       single_transformer_blocks.17.norm1.linear.weight      |  56623104  |
|        single_transformer_blocks.17.attn.to_q.weight        |  9437184   |
|        single_transformer_blocks.17.attn.to_k.weight        |  9437184   |
|        single_transformer_blocks.17.attn.to_v.weight        |  9437184   |
|      single_transformer_blocks.17.attn.to_out.0.weight      |  9437184   |
|       single_transformer_blocks.17.ff.linear_1.weight       |  25165824  |
|       single_transformer_blocks.17.ff.linear_2.weight       |  25165824  |
|    single_transformer_blocks.17.ff.out_projection.weight    |  25165824  |
|       single_transformer_blocks.18.norm1.linear.weight      |  56623104  |
|        single_transformer_blocks.18.attn.to_q.weight        |  9437184   |
|        single_transformer_blocks.18.attn.to_k.weight        |  9437184   |
|        single_transformer_blocks.18.attn.to_v.weight        |  9437184   |
|      single_transformer_blocks.18.attn.to_out.0.weight      |  9437184   |
|       single_transformer_blocks.18.ff.linear_1.weight       |  25165824  |
|       single_transformer_blocks.18.ff.linear_2.weight       |  25165824  |
|    single_transformer_blocks.18.ff.out_projection.weight    |  25165824  |
|       single_transformer_blocks.19.norm1.linear.weight      |  56623104  |
|        single_transformer_blocks.19.attn.to_q.weight        |  9437184   |
|        single_transformer_blocks.19.attn.to_k.weight        |  9437184   |
|        single_transformer_blocks.19.attn.to_v.weight        |  9437184   |
|      single_transformer_blocks.19.attn.to_out.0.weight      |  9437184   |
|       single_transformer_blocks.19.ff.linear_1.weight       |  25165824  |
|       single_transformer_blocks.19.ff.linear_2.weight       |  25165824  |
|    single_transformer_blocks.19.ff.out_projection.weight    |  25165824  |
|       single_transformer_blocks.20.norm1.linear.weight      |  56623104  |
|        single_transformer_blocks.20.attn.to_q.weight        |  9437184   |
|        single_transformer_blocks.20.attn.to_k.weight        |  9437184   |
|        single_transformer_blocks.20.attn.to_v.weight        |  9437184   |
