,DSS,MSS,RSC,MPS,INT,FEL,BLO,ROS,CUM,s1,s2,s3,s4,POV,SID,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,t1,t2,g1,g2,b1,b2
w18,81.086,57.8959,96.1411,58.835,62.338,59.5873,69.0043,71.5315,47.0023,59.8987,60.9861,60.7269,48.3184,60.3188,72.6118,57.9482,45.7195,59.1737,58.4643,48.994,44.3089,59.9957,56.3358,54.9439,49.5453,57.726,76.1608,63.497,49.0998,50.0264,49.4083,48.6187,0.0,60.0222,50.3499,65.0638,54.6457,52.8604,43.242,63.7736,51.9326,48.4633
w19,70.1112,59.4789,91.7694,59.8039,56.5348,53.8783,60.2293,62.8321,56.3982,55.9705,54.0067,55.4809,51.0614,68.9127,68.2572,69.2926,60.9009,67.3017,67.8208,62.6481,58.9699,60.0737,58.0338,64.3629,63.7712,71.1062,76.6045,69.6067,60.7986,60.7651,60.8713,62.1253,60.0222,0.0,65.5671,59.124,67.6268,62.3219,58.7098,61.8378,66.5414,62.551
w20,84.1414,63.5243,99.1923,65.2843,64.6281,62.9159,71.9214,75.1271,54.4774,64.0738,64.9121,67.9033,50.0071,65.4359,75.5168,58.3483,52.7957,63.0621,64.9052,57.7975,56.1393,67.757,64.6496,57.6251,57.0676,66.0918,79.2993,68.5512,55.7357,57.3523,56.2279,58.5851,50.3499,65.5671,0.0,69.3774,59.2208,60.2262,54.1529,67.4195,60.346,58.4032
w21,73.1524,62.6254,91.7041,59.9963,63.4707,51.3066,64.2188,69.2006,62.101,49.2538,57.739,59.1624,61.9172,70.5011,68.4899,71.0671,63.3454,69.0589,70.0459,66.1824,61.7449,63.3799,62.2357,69.5866,66.984,73.3319,76.5075,72.6465,68.2039,62.0313,56.7743,65.4983,65.0638,59.124,69.3774,0.0,70.6631,65.583,63.2125,64.9637,67.7096,66.7886
t1,82.7193,63.5925,98.9812,64.8809,65.1338,65.1854,71.8418,73.92,56.7173,65.9455,68.7482,68.8118,55.8422,63.9765,76.2711,65.1285,52.7187,65.0173,65.4016,56.6543,54.8859,63.3429,61.783,58.0995,51.1187,63.1249,80.2892,68.3695,58.77,56.6668,57.5523,57.0917,54.6457,67.6268,59.2208,70.6631,0.0,59.5174,49.3396,67.7363,60.4238,57.2492
t2,79.6174,63.8426,97.2689,60.6942,61.8605,62.2353,68.8399,73.3732,53.2541,62.1293,63.6959,55.3938,54.5467,65.1157,71.9591,65.495,53.3476,60.5464,61.4856,56.2558,52.5073,60.1967,57.8522,59.687,54.6544,64.4677,76.4515,65.1303,56.7966,54.1057,55.3671,54.5165,52.8604,62.3219,60.2262,65.583,59.5174,0.0,53.0896,62.3534,60.8125,58.0769
g1,76.1549,58.1923,93.0691,58.9046,58.7261,56.9328,63.9518,67.3545,46.5802,57.9745,60.8178,59.5667,49.4638,61.397,68.6673,59.9478,47.0095,58.571,59.4184,49.098,46.9537,56.3521,53.0934,53.7271,46.9742,53.8781,74.6599,60.9223,50.2284,48.7022,48.9819,49.1348,43.242,58.7098,54.1529,63.2125,49.3396,53.0896,0.0,55.9971,52.8597,50.3148
g2,78.3176,66.2538,92.429,61.4753,64.9727,60.585,62.1392,70.5631,63.2331,61.3494,65.0108,63.0495,64.0094,70.2472,70.1704,69.974,61.9499,69.3553,67.5144,65.1128,60.9132,59.5455,57.7844,67.5182,64.4278,67.9612,77.4248,71.9286,66.5075,61.0026,62.4122,63.496,63.7736,61.8378,67.4195,64.9637,67.7363,62.3534,55.9971,0.0,67.0767,68.4291
b1,84.6108,61.9563,98.6993,60.2635,67.9279,60.0239,72.0037,75.2108,53.2563,65.9973,66.5226,70.3738,57.9778,66.8749,77.3974,66.418,54.3851,64.6234,65.2853,57.2133,56.8976,68.3675,66.7361,62.0189,56.9928,65.9315,82.2655,72.5816,59.2545,61.603,57.3083,59.0085,51.9326,66.5414,60.346,67.7096,60.4238,60.8125,52.8597,67.0767,0.0,58.838
b2,82.0877,62.8203,98.9948,62.8707,67.5541,61.9659,74.2377,72.5234,50.301,64.5177,62.971,66.8494,52.6599,63.9631,74.788,64.4745,52.8842,63.5582,63.5248,53.4032,51.7838,64.4775,62.6721,60.5211,54.4949,62.6136,79.7272,67.6881,55.1251,57.5622,54.7326,54.1628,48.4633,62.551,58.4032,66.7886,57.2492,58.0769,50.3148,68.4291,58.838,0.0
